DATE;TIME;Sensor1;Sensor2;Sensor3;Sensor4
2024-07-03;18:04:00;26,434;26,323;26,517;26,075
2024-07-03;18:09:00;26,359;26,264;26,517;26,063
2024-07-03;18:14:00;26,422;26,348;26,511;26,117
2024-07-03;18:19:00;26,385;26,277;26,587;26,07
2024-07-03;18:24:00;26,392;26,348;26,539;26,12
2024-07-03;18:29:00;26,463;26,645;26,62;26,238
2024-07-03;18:34:00;26,482;26,403;26,62;26,228
2024-07-03;18:39:00;26,475;26,386;26,62;26,138
2024-07-03;18:44:00;26,433;26,346;26,539;26,123
2024-07-03;18:49:00;26,421;26,339;26,62;26,139
2024-07-03;18:54:00;26,457;26,412;26,62;26,167
2024-07-03;18:59:00;26,457;26,395;26,62;26,159
2024-07-03;19:04:00;26,533;26,5;26,676;26,229
2024-07-03;19:09:00;26,512;26,442;26,671;26,25
2024-07-03;19:14:00;26,531;26,762;26,706;26,353
2024-07-03;19:19:00;26,724;26,713;26,81;26,388
2024-07-03;19:24:00;26,716;26,653;26,87;26,382
2024-07-03;19:29:00;26,637;26,571;26,818;26,37
2024-07-03;19:34:00;26,679;26,634;26,844;26,37
2024-07-03;19:39:00;26,653;26,631;26,849;26,37
2024-07-03;19:44:00;26,793;26,748;26,904;26,466
2024-07-03;19:49:00;26,818;26,804;26,968;26,531
2024-07-03;19:54:00;26,776;26,933;27;26,531
2024-07-03;19:59:00;26,683;26,644;26,909;26,415
2024-07-03;20:04:00;26,613;26,551;26,85;26,366
2024-07-03;20:09:00;26,561;26,542;26,769;26,301
2024-07-03;20:14:00;26,586;26,565;26,75;26,37
2024-07-03;20:19:00;26,553;26,297;26,807;26,111
2024-07-03;20:24:00;26,622;26,407;26,87;26
2024-07-03;20:29:00;26,615;26,434;26,853;26,062
2024-07-03;20:34:00;26,651;26,644;26,824;26,076
2024-07-03;20:39:00;26,664;26,424;26,87;26,056
2024-07-03;20:44:00;26,622;26,396;26,786;26
2024-07-03;20:49:00;26,503;26,316;26,75;25,984
2024-07-03;20:54:00;26,499;26,411;26,716;26,076
2024-07-03;20:59:00;26,568;26,532;26,75;26,203
2024-07-03;21:04:00;26,687;26,657;26,855;26,328
2024-07-03;21:09:00;26,696;26,664;26,87;26,39
2024-07-03;21:14:01;26,688;26,915;26,87;26,5
2024-07-03;21:19:00;26,722;26,744;26,88;26,5
2024-07-03;21:24:00;26,732;26,744;26,87;26,5
2024-07-03;21:29:00;26,74;26,776;26,87;26,5
2024-07-03;21:34:00;26,78;26,786;26,965;26,557
2024-07-03;21:39:00;26,865;26,871;27;26,62
2024-07-03;21:44:00;26,813;26,804;27,002;26,62
2024-07-03;21:49:00;26,966;27,256;27,119;26,759
2024-07-03;21:54:00;26,985;27,011;27,198;26,812
2024-07-03;21:59:00;26,959;26,927;27,165;26,749
2024-07-03;22:04:00;26,999;27,014;27,186;26,746
2024-07-03;22:09:00;26,937;26,925;27,25;26,75
2024-07-03;22:14:00;26,938;26,955;27,25;26,75
2024-07-03;22:19:00;26,978;27,166;27,25;26,786
2024-07-03;22:24:00;26,972;27,089;27,26;26,87
2024-07-03;22:29:00;26,984;27,031;27,25;26,797
2024-07-03;22:34:00;27,002;27,078;27,25;26,87
2024-07-03;22:39:00;27,067;27,121;27,259;26,87
2024-07-03;22:44:00;27,082;27,13;27,363;26,87
2024-07-03;22:49:01;26,988;27,207;27,254;26,893
2024-07-03;22:54:00;27,089;27,288;27,369;27
2024-07-03;22:59:00;27,01;27,073;27,303;26,953
2024-07-03;23:04:00;26,993;27,066;27,256;26,87
2024-07-03;23:09:00;27,02;27,095;27,25;26,87
2024-07-03;23:14:00;27,003;27,052;27,29;26,904
2024-07-03;23:19:00;27,089;27,327;27,37;26,912
2024-07-03;23:24:00;27,029;27,24;27,361;27,002
2024-07-03;23:29:00;27,034;27,137;27,334;26,872
2024-07-03;23:34:00;27,132;27,195;27,37;26,975
2024-07-03;23:39:00;27,014;27,095;27,343;26,999
2024-07-03;23:44:00;26,965;27,096;27,253;26,933
2024-07-03;23:49:00;27,012;27,389;27,25;26,988
2024-07-03;23:54:00;27,09;27,25;27,345;27
2024-07-03;23:59:00;27,188;27,252;27,369;27
2024-07-04;00:04:00;27,16;27,23;27,37;27,045
2024-07-04;00:09:00;27,156;27,231;27,37;27
2024-07-04;00:14:00;27,119;27,192;27,394;27
2024-07-04;00:19:00;27,179;27,496;27,48;27,086
2024-07-04;00:24:00;27,195;27,285;27,5;27,12
2024-07-04;00:29:00;27,17;27,25;27,464;27,061
2024-07-04;00:34:00;27,144;27,2;27,482;27,062
2024-07-04;00:39:00;27,222;27,296;27,481;27,058
2024-07-04;00:44:00;27,213;27,251;27,5;27,061
2024-07-04;00:49:00;27,227;27,575;27,5;27,191
2024-07-04;00:54:00;27,219;27,292;27,5;27,12
2024-07-04;00:59:00;27,172;27,224;27,5;27,028
2024-07-04;01:04:00;27,3;27,373;27,502;27,111
2024-07-04;01:09:00;27,327;27,39;27,551;27,161
2024-07-04;01:14:00;27,362;27,612;27,617;27,267
2024-07-04;01:19:00;27,34;27,527;27,62;27,337
2024-07-04;01:24:00;27,315;27,414;27,62;27,25
2024-07-04;01:29:00;27,166;27,292;27,501;27,152
2024-07-04;01:34:00;27,276;27,352;27,529;27,141
2024-07-04;01:39:00;27,235;27,36;27,484;27,149
2024-07-04;01:44:00;27,281;27,641;27,588;27,294
2024-07-04;01:49:00;27,276;27,411;27,588;27,25
2024-07-04;01:54:00;27,265;27,379;27,601;27,197
2024-07-04;01:59:00;27,288;27,361;27,617;27,164
2024-07-04;02:04:00;27,268;27,337;27,606;27,181
2024-07-04;02:09:00;27,329;27,691;27,62;27,252
2024-07-04;02:14:00;27,278;27,419;27,612;27,252
2024-07-04;02:19:00;27,33;27,453;27,544;27,25
2024-07-04;02:24:00;27,321;27,408;27,558;27,25
2024-07-04;02:29:00;27,282;27,379;27,62;27,226
2024-07-04;02:34:00;27,269;27,601;27,6;27,23
2024-07-04;02:39:00;27,477;27,701;27,712;27,37
2024-07-04;02:44:00;27,314;27,434;27,645;27,305
2024-07-04;02:49:00;27,286;27,405;27,567;27,25
2024-07-04;02:54:00;27,405;27,536;27,613;27,264
2024-07-04;02:59:00;27,472;27,698;27,671;27,378
2024-07-04;03:04:00;27,408;27,669;27,75;27,422
2024-07-04;03:09:00;27,405;27,494;27,693;27,304
2024-07-04;03:14:00;27,451;27,533;27,75;27,25
2024-07-04;03:19:00;27,377;27,423;27,749;27,25
2024-07-04;03:24:00;27,427;27,588;27,75;27,298
2024-07-04;03:29:00;27,392;27,652;27,75;27,37
2024-07-04;03:34:00;27,357;27,456;27,717;27,3
2024-07-04;03:39:00;27,305;27,387;27,667;27,276
2024-07-04;03:44:00;27,284;27,394;27,601;27,25
2024-07-04;03:49:00;27,279;27,461;27,598;27,25
2024-07-04;03:54:00;27,309;27,696;27,604;27,255
2024-07-04;03:59:00;27,27;27,388;27,604;27,25
2024-07-04;04:04:00;27,27;27,368;27,621;27,239
2024-07-04;04:09:00;27,396;27,518;27,65;27,276
2024-07-04;04:14:00;27,365;27,442;27,697;27,316
2024-07-04;04:19:00;27,367;27,748;27,75;27,367
2024-07-04;04:24:00;27,373;27,49;27,683;27,356
2024-07-04;04:29:00;27,352;27,452;27,637;27,334
2024-07-04;04:34:00;27,298;27,423;27,62;27,25
2024-07-04;04:39:00;27,337;27,485;27,62;27,25
2024-07-04;04:44:00;27,313;27,712;27,641;27,263
2024-07-04;04:49:00;27,392;27,505;27,65;27,367
2024-07-04;04:54:00;27,384;27,516;27,62;27,366
2024-07-04;04:59:00;27,274;27,384;27,62;27,25
2024-07-04;05:04:00;27,301;27,481;27,628;27,255
2024-07-04;05:09:00;27,392;27,741;27,75;27,379
2024-07-04;05:14:00;27,353;27,462;27,697;27,345
2024-07-04;05:19:00;27,336;27,449;27,702;27,283
2024-07-04;05:24:00;27,318;27,407;27,631;27,25
2024-07-04;05:29:00;27,311;27,454;27,62;27,254
2024-07-04;05:34:00;27,357;27,666;27,683;27,334
2024-07-04;05:39:00;27,317;27,431;27,67;27,309
2024-07-04;05:44:00;27,344;27,477;27,62;27,299
2024-07-04;05:49:00;27,319;27,413;27,692;27,25
2024-07-04;05:54:00;27,257;27,428;27,62;27,25
2024-07-04;05:59:00;27,337;27,733;27,688;27,351
2024-07-04;06:04:00;27,346;27,468;27,684;27,31
2024-07-04;06:09:00;27,374;27,479;27,691;27,325
2024-07-04;06:14:00;27,355;27,442;27,742;27,254
2024-07-04;06:19:00;27,371;27,533;27,745;27,311
2024-07-04;06:24:00;27,392;27,756;27,718;27,37
2024-07-04;06:29:00;27,434;27,51;27,75;27,37
2024-07-04;06:34:00;27,386;27,506;27,704;27,37
2024-07-04;06:39:00;27,388;27,501;27,689;27,35
2024-07-04;06:44:00;27,391;27,531;27,694;27,324
2024-07-04;06:49:00;27,482;27,907;27,75;27,46
2024-07-04;06:54:00;27,383;27,492;27,75;27,383
2024-07-04;06:59:00;27,377;27,471;27,75;27,31
2024-07-04;07:04:00;27,361;27,437;27,75;27,252
2024-07-04;07:09:00;27,397;27,516;27,714;27,332
2024-07-04;07:14:00;27,351;27,706;27,644;27,321
2024-07-04;07:19:00;27,361;27,46;27,708;27,31
2024-07-04;07:24:00;27,444;27,549;27,75;27,362
2024-07-04;07:29:00;27,376;27,468;27,71;27,316
2024-07-04;07:34:00;27,377;27,449;27,75;27,28
2024-07-04;07:39:00;27,374;27,741;27,75;27,336
2024-07-04;07:44:00;27,365;27,503;27,726;27,369
2024-07-04;07:49:00;27,336;27,404;27,75;27,25
2024-07-04;07:54:00;27,346;27,431;27,718;27,25
2024-07-04;07:59:00;27,39;27,508;27,699;27,278
2024-07-04;08:04:00;27,406;27,732;27,68;27,365
2024-07-04;08:09:00;27,41;27,57;27,75;27,443
2024-07-04;08:14:00;27,439;27,549;27,75;27,37
2024-07-04;08:19:00;27,405;27,469;27,75;27,288
2024-07-04;08:24:00;27,338;27,44;27,745;27,294
2024-07-04;08:29:00;27,459;27,721;27,75;27,372
2024-07-04;08:34:00;27,549;27,852;27,809;27,571
2024-07-04;08:39:00;27,487;27,587;27,765;27,425
2024-07-04;08:44:00;27,379;27,496;27,75;27,381
2024-07-04;08:49:00;27,396;27,532;27,689;27,37
2024-07-04;08:54:00;27,402;27,526;27,725;27,37
2024-07-04;08:59:00;27,436;27,927;27,731;27,482
2024-07-04;09:04:00;27,41;27,601;27,75;27,472
2024-07-04;09:09:00;27,431;27,553;27,741;27,37
2024-07-04;09:14:00;27,421;27,568;27,722;27,37
2024-07-04;09:19:00;27,394;27,497;27,767;27,37
2024-07-04;09:24:00;27,451;27,8;27,821;27,373
2024-07-04;09:29:00;27,48;27,624;27,87;27,439
2024-07-04;09:34:00;27,469;27,565;27,809;27,37
2024-07-04;09:39:00;27,474;27,558;27,75;27,37
2024-07-04;09:44:00;27,41;27,55;27,721;27,37
2024-07-04;09:49:00;27,419;27,692;27,749;27,391
2024-07-04;09:54:00;27,454;27,758;27,765;27,495
2024-07-04;09:59:00;27,487;27,622;27,794;27,428
2024-07-04;10:04:00;27,404;27,536;27,75;27,381
2024-07-04;10:09:00;27,396;27,546;27,703;27,37
2024-07-04;10:14:00;27,413;27,632;27,75;27,37
2024-07-04;10:19:00;27,486;27,855;27,799;27,482
2024-07-04;10:24:00;27,472;27,597;27,751;27,387
2024-07-04;10:29:00;27,488;27,588;27,837;27,377
2024-07-04;10:34:00;27,49;27,586;27,816;27,47
2024-07-04;10:39:00;27,463;27,609;27,754;27,414
2024-07-04;10:44:00;27,6;28,041;27,87;27,576
2024-07-04;10:49:00;27,51;27,605;27,87;27,521
2024-07-04;10:54:00;27,491;27,599;27,835;27,454
2024-07-04;10:59:00;27,498;27,602;27,869;27,42
2024-07-04;11:04:00;27,58;27,699;27,864;27,435
2024-07-04;11:09:00;27,546;27,925;27,861;27,5
2024-07-04;11:14:00;27,551;27,674;27,87;27,5
2024-07-04;11:19:00;27,553;27,65;27,87;27,497
2024-07-04;11:24:00;27,606;27,708;27,87;27,5
2024-07-04;11:29:00;27,61;27,718;27,87;27,509
2024-07-04;11:34:00;27,659;28,031;27,938;27,62
2024-07-04;11:39:00;27,649;27,744;27,92;27,576
2024-07-04;11:44:00;27,708;27,749;28;27,593
2024-07-04;11:49:00;27,749;27,806;27,975;27,582
2024-07-04;11:54:00;27,639;27,807;27,87;27,571
2024-07-04;11:59:00;27,697;28,083;27,903;27,692
2024-07-04;12:04:00;27,781;27,881;27,998;27,646
2024-07-04;12:09:00;27,867;27,907;28,042;27,697
2024-07-04;12:14:00;27,905;27,928;28,077;27,75
2024-07-04;12:19:00;27,885;28,084;28,089;27,754
2024-07-04;12:24:00;27,932;28,13;28,206;27,832
2024-07-04;12:29:00;27,892;27,944;28,142;27,774
2024-07-04;12:34:00;27,935;28,005;28,107;27,75
2024-07-04;12:39:00;27,946;27,989;28,114;27,775
2024-07-04;12:44:00;27,943;28,229;28,12;27,841
2024-07-04;12:49:00;27,988;28,072;28,171;27,817
2024-07-04;12:54:00;27,994;28,037;28,173;27,803
2024-07-04;12:59:00;28,029;28,073;28,203;27,838
2024-07-04;13:04:00;27,992;28,032;28,249;27,87
2024-07-04;13:09:00;28,037;28,449;28,216;27,973
2024-07-04;13:14:00;28,074;28,141;28,25;27,959
2024-07-04;13:19:00;28,084;28,119;28,25;27,951
2024-07-04;13:24:00;28,132;28,157;28,321;27,937
2024-07-04;13:29:00;28,144;28,324;28,368;27,97
2024-07-04;13:34:00;28,202;28,411;28,421;28,12
2024-07-04;13:39:00;28,235;28,257;28,438;28,029
2024-07-04;13:44:00;28,276;28,291;28,453;28,055
2024-07-04;13:49:00;28,296;28,316;28,5;28,12
2024-07-04;13:54:00;28,348;28,701;28,549;28,222
2024-07-04;13:59:00;28,252;27,969;28,535;27,857
2024-07-04;14:04:00;28,034;27,655;28,375;27,368
2024-07-04;14:09:00;27,927;27,599;28,274;27,108
2024-07-04;14:14:00;27,986;27,717;28,25;27,096
2024-07-04;14:19:00;28,056;28,103;28,25;27,355
2024-07-04;14:24:00;28,075;28,023;28,218;27,535
2024-07-04;14:29:00;28,165;28,057;28,251;27,62
2024-07-04;14:34:00;28,241;28,194;28,346;27,734
2024-07-04;14:39:00;28,177;28,234;28,326;27,78
2024-07-04;14:44:00;28,304;28,489;28,37;27,884
2024-07-04;14:49:00;28,289;28,296;28,411;27,861
2024-07-04;14:54:00;28,369;28,361;28,488;27,87
2024-07-04;14:59:00;28,337;28,337;28,451;27,871
2024-07-04;15:04:00;28,387;28,553;28,485;28,005
2024-07-04;15:09:00;28,502;28,508;28,561;28,12
2024-07-04;15:14:00;28,487;28,41;28,62;28,053
2024-07-04;15:19:00;28,529;28,454;28,62;28
2024-07-04;15:24:00;28,426;28,373;28,574;28
2024-07-04;15:29:00;28,453;28,73;28,57;28,11
2024-07-04;15:34:00;28,496;28,478;28,62;28,103
2024-07-04;15:39:00;28,469;28,408;28,62;28
2024-07-04;15:44:00;28,486;28,394;28,62;28,002
2024-07-04;15:49:00;28,475;28,666;28,62;28,116
2024-07-04;15:54:00;28,454;28,498;28,616;28,099
2024-07-04;15:59:00;28,415;28,391;28,607;28
2024-07-04;16:04:00;28,479;28,475;28,62;28,029
2024-07-04;16:09:00;28,394;28,363;28,62;28,015
2024-07-04;16:14:00;28,442;28,673;28,624;28,173
2024-07-04;16:19:00;28,421;28,424;28,62;28,102
2024-07-04;16:24:00;28,428;28,401;28,62;28,028
2024-07-04;16:29:00;28,57;28,47;28,721;28,089
2024-07-04;16:34:00;28,581;28,791;28,733;28,223
2024-07-04;16:39:00;28,579;28,557;28,736;28,246
2024-07-04;16:44:00;28,57;28,492;28,75;28,161
2024-07-04;16:49:00;28,47;28,425;28,67;28,14
2024-07-04;16:54:00;28,439;28,606;28,63;28,131
2024-07-04;16:59:00;28,514;28,682;28,729;28,235
2024-07-04;17:04:00;28,519;28,51;28,724;28,142
2024-07-04;17:09:00;28,537;28,516;28,718;28,12
2024-07-04;17:14:00;28,437;28,439;28,624;28,12
2024-07-04;17:19:00;28,567;28,828;28,718;28,199
2024-07-04;17:24:00;28,524;28,385;28,669;28,075
2024-07-04;17:29:00;28,441;28,401;28,66;28,095
2024-07-04;17:34:00;28,462;28,422;28,634;28,109
2024-07-04;17:39:00;28,494;28,675;28,699;28,169
2024-07-04;17:44:00;28,505;28,503;28,661;28,132
2024-07-04;17:49:00;28,461;28,414;28,749;28,12
2024-07-04;17:54:00;28,469;28,407;28,7;28,12
2024-07-04;17:59:00;28,452;28,502;28,62;28,12
2024-07-04;18:04:00;28,561;28,728;28,746;28,239
2024-07-04;18:09:00;28,515;28,468;28,745;28,164
2024-07-04;18:14:00;28,536;28,509;28,737;28,132
2024-07-04;18:19:00;28,557;28,498;28,75;28,122
2024-07-04;18:24:00;28,575;28,78;28,773;28,221
2024-07-04;18:29:00;28,611;28,563;28,798;28,25
2024-07-04;18:34:00;28,587;28,534;28,779;28,25
2024-07-04;18:39:00;28,587;28,538;28,75;28,25
2024-07-04;18:44:00;28,584;28,771;28,75;28,221
2024-07-04;18:49:00;28,571;28,615;28,75;28,265
2024-07-04;18:54:00;28,572;28,495;28,76;28,249
2024-07-04;18:59:00;28,557;28,481;28,761;28,25
2024-07-04;19:04:00;28,544;28,582;28,77;28,25
2024-07-04;19:09:00;28,61;28,815;28,772;28,344
2024-07-04;19:14:01;28,56;28,456;28,87;28,269
2024-07-04;19:19:00;28,546;28,475;28,801;28,222
2024-07-04;19:24:00;28,583;28,559;28,75;28,223
2024-07-04;19:29:00;28,528;28,746;28,727;28,256
2024-07-04;19:34:00;28,637;28,632;28,75;28,278
2024-07-04;19:39:00;28,571;28,534;28,735;28,25
2024-07-04;19:44:00;28,558;28,507;28,828;28,19
2024-07-04;19:49:00;28,652;28,865;28,869;28,25
2024-07-04;19:54:00;28,678;28,759;28,852;28,344
2024-07-04;19:59:00;28,589;28,543;28,75;28,25
2024-07-04;20:04:00;28,557;28,564;28,721;28,25
2024-07-04;20:09:00;28,554;28,634;28,7;28,25
2024-07-04;20:14:00;28,612;28,882;28,75;28,401
2024-07-04;20:19:00;28,642;28,626;28,803;28,356
2024-07-04;20:24:00;28,679;28,615;28,87;28,313
2024-07-04;20:29:00;28,645;28,637;28,836;28,316
2024-07-04;20:34:00;28,656;28,948;28,87;28,371
2024-07-04;20:39:00;28,66;28,669;28,839;28,37
2024-07-04;20:44:00;28,629;28,63;28,832;28,349
2024-07-04;20:49:00;28,635;28,588;28,869;28,274
2024-07-04;20:54:00;28,638;28,882;28,863;28,353
2024-07-04;20:59:00;28,661;28,657;28,87;28,414
2024-07-04;21:04:00;28,644;28,624;28,855;28,344
2024-07-04;21:09:00;28,619;28,438;28,87;28,224
2024-07-04;21:14:00;28,544;27,868;28,87;27,644
2024-07-04;21:19:00;28,556;28,091;28,87;27,594
2024-07-04;21:24:00;28,483;27,406;28,805;27,125
2024-07-04;21:29:00;28,213;27,671;28,55;27
2024-07-04;21:34:00;28,118;27,659;28,332;27
2024-07-04;21:39:00;28,06;27,826;28,117;27,017
2024-07-04;21:44:00;28,012;27,661;28,031;27,044
2024-07-04;21:49:00;28,008;27,692;27,946;27,049
2024-07-04;21:54:00;28,032;27,923;27,979;27,176
2024-07-04;21:59:00;28,018;27,954;27,983;27,363
2024-07-04;22:04:00;28,084;28,158;28,072;27,492
2024-07-04;22:09:00;28,103;28,133;28,07;27,655
2024-07-04;22:14:00;28,014;28,049;27,976;27,577
2024-07-04;22:19:00;28,021;28,13;27,944;27,59
2024-07-04;22:24:00;28,067;28,213;27,972;27,585
2024-07-04;22:29:00;27,953;28,258;27,893;27,598
2024-07-04;22:34:00;27,855;28,087;27,798;27,579
2024-07-04;22:39:00;27,973;28,062;27,884;27,593
2024-07-04;22:44:00;27,93;27,987;27,898;27,532
2024-07-04;22:49:00;27,891;28,113;27,848;27,577
2024-07-04;22:54:00;27,992;28,257;27,919;27,786
2024-07-04;22:59:00;27,966;28,096;27,934;27,678
2024-07-04;23:04:00;28,022;28,138;27,991;27,604
2024-07-04;23:09:00;27,798;27,955;27,84;27,568
2024-07-04;23:14:00;28,092;28,498;28;27,734
2024-07-04;23:19:00;28,167;28,506;28,075;27,871
2024-07-04;23:24:00;27,869;28,08;27,877;27,693
2024-07-04;23:29:00;27,862;28,099;27,847;27,622
2024-07-04;23:34:00;27,936;28,211;27,877;27,637
2024-07-04;23:39:00;28,099;28,447;27,976;27,89
2024-07-04;23:44:00;28,015;28,229;27,934;27,75
2024-07-04;23:49:00;28,041;28,24;27,954;27,666
2024-07-04;23:54:00;28,009;28,201;27,94;27,62
2024-07-04;23:59:00;28,049;28,415;27,954;27,714
2024-07-05;00:04:00;28,028;28,373;27,957;27,624
2024-07-05;00:09:00;27,906;28,093;27,868;27,587
2024-07-05;00:14:00;27,909;28,061;27,926;27,606
2024-07-05;00:19:00;27,921;28,214;27,933;27,62
2024-07-05;00:24:00;28,032;28,424;27,97;27,728
2024-07-05;00:29:00;27,91;28,03;27,928;27,652
2024-07-05;00:34:00;27,907;28,036;27,955;27,569
2024-07-05;00:39:00;27,878;28,051;27,89;27,584
2024-07-05;00:44:00;27,916;28,223;27,84;27,633
2024-07-05;00:49:00;28,111;28,348;27,971;27,75
2024-07-05;00:54:00;27,955;28,053;27,944;27,625
2024-07-05;00:59:00;27,831;28,08;27,828;27,563
2024-07-05;01:04:00;27,964;28,163;27,848;27,592
2024-07-05;01:09:00;27,914;28,162;27,831;27,617
2024-07-05;01:14:00;27,808;28,001;27,817;27,547
2024-07-05;01:19:00;27,903;27,958;27,871;27,588
2024-07-05;01:24:00;27,923;28,076;27,879;27,537
2024-07-05;01:29:00;28,069;28,434;27,983;27,711
2024-07-05;01:34:00;28,057;28,273;27,954;27,741
2024-07-05;01:39:00;27,974;28,222;27,93;27,62
2024-07-05;01:44:00;27,944;28,145;27,92;27,62
2024-07-05;01:49:00;27,95;28,197;27,919;27,635
2024-07-05;01:54:00;27,956;28,339;27,912;27,711
2024-07-05;01:59:00;27,973;28,185;27,939;27,649
2024-07-05;02:04:00;27,965;28,078;27,938;27,661
2024-07-05;02:09:00;27,947;28,056;27,944;27,649
2024-07-05;02:14:00;27,994;28,295;27,965;27,77
2024-07-05;02:19:00;28,073;28,187;28,006;27,75
2024-07-05;02:24:00;28,03;28,132;27,993;27,628
2024-07-05;02:29:00;27,966;28,148;27,933;27,62
2024-07-05;02:34:00;28,007;28,338;27,964;27,702
2024-07-05;02:39:00;28,075;28,212;28,019;27,75
2024-07-05;02:44:00;28,055;28,194;28,034;27,711
2024-07-05;02:49:00;27,99;28,027;27,985;27,639
2024-07-05;02:54:00;27,949;28,181;27,904;27,701
2024-07-05;02:59:00;27,97;28,364;27,939;27,681
2024-07-05;03:04:00;27,851;28,022;27,884;27,555
2024-07-05;03:09:00;27,982;28,181;27,97;27,614
2024-07-05;03:14:00;27,788;28,051;27,807;27,538
2024-07-05;03:19:00;27,87;28,278;27,8;27,661
2024-07-05;03:24:00;27,96;28,199;27,905;27,638
2024-07-05;03:29:00;28,051;28,214;27,957;27,648
2024-07-05;03:34:00;28,014;28,08;28;27,639
2024-07-05;03:39:00;27,979;28,198;27,954;27,659
2024-07-05;03:44:00;28,059;28,318;27,961;27,75
2024-07-05;03:49:00;28,056;28,287;28,007;27,747
2024-07-05;03:54:00;28,016;28,2;27,976;27,707
2024-07-05;03:59:00;28,031;28,199;27,945;27,685
2024-07-05;04:04:00;28,017;28,403;27,935;27,779
2024-07-05;04:09:00;27,998;28,144;27,962;27,694
2024-07-05;04:14:00;27,983;28,143;27,939;27,7
2024-07-05;04:19:00;27,991;28,15;27,946;27,746
2024-07-05;04:24:00;28,042;28,4;27,966;27,819
2024-07-05;04:29:00;28,051;28,281;28,024;27,755
2024-07-05;04:34:00;28,077;28,3;28,053;27,741
2024-07-05;04:39:00;28,059;28,189;28,027;27,741
2024-07-05;04:44:01;28,046;28,425;28,035;27,75
2024-07-05;04:49:00;28,062;28,372;27,985;27,75
2024-07-05;04:54:00;28,1;28,334;27,993;27,75
2024-07-05;04:59:00;27,983;28,161;27,944;27,626
2024-07-05;05:04:00;27,943;28,121;27,967;27,684
2024-07-05;05:09:00;27,979;28,307;28;27,823
2024-07-05;05:14:00;27,996;28,161;27,975;27,728
2024-07-05;05:19:00;27,84;28,065;27,821;27,645
2024-07-05;05:24:00;27,931;28,135;27,914;27,62
2024-07-05;05:29:00;27,826;28,252;27,815;27,708
2024-07-05;05:34:00;27,967;28,155;27,837;27,737
2024-07-05;05:39:00;27,89;28,035;27,866;27,65
2024-07-05;05:44:00;27,854;27,954;27,886;27,618
2024-07-05;05:49:00;27,857;28,111;27,87;27,623
2024-07-05;05:54:00;27,816;28,11;27,799;27,652
2024-07-05;05:59:00;27,808;28,071;27,815;27,538
2024-07-05;06:04:00;27,781;27,936;27,795;27,501
2024-07-05;06:09:00;27,582;27,804;27,689;27,493
2024-07-05;06:14:00;27,726;28,151;27,68;27,572
2024-07-05;06:19:00;27,669;27,887;27,649;27,506
2024-07-05;06:24:00;27,68;27,864;27,714;27,5
2024-07-05;06:29:00;27,747;27,968;27,754;27,5
2024-07-05;06:34:00;27,683;28,001;27,741;27,521
2024-07-05;06:39:00;27,677;27,984;27,762;27,531
2024-07-05;06:44:00;27,676;27,952;27,719;27,5
2024-07-05;06:49:00;27,674;27,89;27,671;27,495
2024-07-05;06:54:00;27,66;27,854;27,631;27,468
